yarn.ipc.client.factory.class	327
yarn.ipc.server.factory.class	323
yarn.ipc.record.factory.class	330
yarn.ipc.rpc.class	474
yarn.resourcemanager.hostname	28700
yarn.resourcemanager.address	18200
yarn.resourcemanager.bind-host	746
yarn.resourcemanager.auto-update.containers	224
yarn.resourcemanager.client.thread-count	584
yarn.resourcemanager.amlauncher.thread-count	285
yarn.resourcemanager.nodemanager-connect-retries	231
yarn.dispatcher.drain-events.timeout	616
yarn.dispatcher.print-events-info.threshold	6
yarn.am.liveness-monitor.expiry-interval-ms	1050
yarn.resourcemanager.principal	1290
yarn.resourcemanager.scheduler.address	24000
yarn.resourcemanager.scheduler.client.thread-count	1430
yarn.resourcemanager.placement-constraints.handler	139
yarn.resourcemanager.placement-constraints.retry-attempts	8
yarn.resourcemanager.placement-constraints.algorithm.class	9
yarn.resourcemanager.placement-constraints.algorithm.iterator	9
yarn.resourcemanager.placement-constraints.algorithm.pool-size	10
yarn.resourcemanager.placement-constraints.scheduler.pool-size	598
yarn.resourcemanager.application-master-service.processors	7
yarn.http.policy	1100
yarn.resourcemanager.webapp.address	12000
yarn.resourcemanager.webapp.https.address	1800
yarn.resourcemanager.webapp.spnego-keytab-file	350
yarn.resourcemanager.webapp.spnego-principal	413
yarn.resourcemanager.webapp.ui-actions.enabled	766
yarn.webapp.ui2.enable	1250
yarn.webapp.ui2.war-file-path	662
yarn.webapp.api-service.enable	334
yarn.resourcemanager.resource-tracker.address	8840
yarn.resourcemanager.resource-tracker.nm.ip-hostname-check	3
yarn.acl.enable	5560
yarn.acl.reservation-enable	96
yarn.admin.acl	5800
yarn.resourcemanager.admin.address	7890
yarn.resourcemanager.admin.client.thread-count	568
yarn.resourcemanager.connect.max-wait.ms	482
yarn.resourcemanager.connect.retry-interval.ms	1120
yarn.resourcemanager.am.max-attempts	6480
yarn.resourcemanager.container.liveness-monitor.interval-ms	580
yarn.resourcemanager.keytab	954
yarn.resourcemanager.webapp.delegation-token-auth-filter.enabled	914
